DESCRIPTION,HASHTAGS,DATE_POSTED,COMMENTS_COUNT,LIKES_COUNT,VIDEO_VIEW_COUNT,COMMENT_TEXT,SENTIMENT
"Freedom From Domestic Violence and Abuse is Within Reach. 
Call ADV!
1-800-339-7233
www.alternativestodomesticviolence.org
#domesticviolence #domesticabuse #domesticviolenceawareness #emotionalabuse #abuse #narcissisticabuse #narcissist #survivor #gaslighting #toxicrelationships #mentalhealth #ptsd #trauma #healing #divorce #womenempowerment #narcissisticabusesurvivor #women #selflove #sociopath #love #narcissism #domesticviolencesurvivor #manipulation #toxicpeople #abusiverelationship #metoo #abusesurvivor #traumabonding #psychologicalabuse","[""#domesticviolence"",""#domesticabuse"",""#domesticviolenceawareness"",""#emotionalabuse"",""#abuse"",""#narcissisticabuse"",""#narcissist"",""#survivor"",""#gaslighting"",""#toxicrelationships"",""#mentalhealth"",""#ptsd"",""#trauma"",""#healing"",""#divorce"",""#womenempowerment"",""#narcissisticabusesurvivor"",""#women"",""#selflove"",""#sociopath"",""#love"",""#narcissism"",""#domesticviolencesurvivor"",""#manipulation"",""#toxicpeople"",""#abusiverelationship"",""#metoo"",""#abusesurvivor"",""#traumabonding"",""#psychologicalabuse""]",2024-02-28,0,2,0,[],positive
".
.
.
.
.
.
.
.
.
#feminist #feminism #equality #girlpower #womenempowerment #love #feminista #feminismo #womensupportingwomen #womensrights #woman #metoo #selflove #feministart #humanrights #empowerment #intersectionalfeminism #equalrights #racism #girlboss #thefutureisfemale #domesticviolence #freedom #diversity #genderequality #equalityforall #rapeculture #abuse","[""#feminist"",""#feminism"",""#equality"",""#girlpower"",""#womenempowerment"",""#love"",""#feminista"",""#feminismo"",""#womensupportingwomen"",""#womensrights"",""#woman"",""#metoo"",""#selflove"",""#feministart"",""#humanrights"",""#empowerment"",""#intersectionalfeminism"",""#equalrights"",""#racism"",""#girlboss"",""#thefutureisfemale"",""#domesticviolence"",""#freedom"",""#diversity"",""#genderequality"",""#equalityforall"",""#rapeculture"",""#abuse""]",2024-02-22,0,0,0,[],positive
"My aunt lived in that area, and we were taken there daily. I can remember her telling me I was special and that I would be a star someday. That I had to do everything she said. Listen, practice.
My father was supposed to be watching my sister and me, but he would take us there and leave us with her. For part of that time we stayed with my aunt until we could get our own place. My father was supposed to be looking for work, but he would take off with my blood uncles every day, so it got to be that I never saw either parent for long periods of time. That would change on occasion when my father would take me with him to bars while he drank or played in a band or both. I would be at the bar with one of his girlfriends. It seemed perfectly natural to me.
My aunt began to sexually abuse me the first night. It continued the entire time we were there. Months. I didn't know until years later that my sister was locked in a closet while this went on.
Eventually we got a place of our own and the abuse stopped.
A few months later my cousins came to live with us and the sexual abuse started again. Just different people. It ended a few months later when they were caught. They had us tied up. The cords were tight. Not really cords at all, cloths line. My sister and I were tied back to back. My cousins, a sister and brother had already molested us for over an hour. I cannot recall where my mother was during that period of my life. She was gone a lot. I think she was working because he didn't work. That's all I know.
https://www.amazon.com/Sex.../dp/B0BZYGDNCH/ref=sr_1_1...
#kindleunlimited #kindle #kindlebooks #kindles #freeonku #paperback #amazon #sexlife #abuse #metoo #childabuse #sexualabuse #sexualabusebooks #selfhelp #domesticviolence #truecrime #truestory #abuse #bookstagram #readersofinstagram #readerscommunity #goodreads","[""#kindleunlimited"",""#kindle"",""#kindlebooks"",""#kindles"",""#freeonku"",""#paperback"",""#amazon"",""#sexlife"",""#abuse"",""#metoo"",""#childabuse"",""#sexualabuse"",""#sexualabusebooks"",""#selfhelp"",""#domesticviolence"",""#truecrime"",""#truestory"",""#abuse"",""#bookstagram"",""#readersofinstagram"",""#readerscommunity"",""#goodreads""]",2024-02-24,0,0,0,[],negative
"Die Termine und Themen unseres Gruppenangebotes, der Ressourceninsel, im März stehen fest! 🌷🪺
 
❗️Wichtige Änderung in den Kommentaren❗️
 Bei der Atelier-Insel am Montag stehen kreativer Ausdruck, Gestaltung von individuellen Ideen und Experimente im Mittelpunkt. Das Gestalten in der Gruppe kann dabei sowohl unterstützend als auch ein Übungsfeld sein, sich im Gruppengeschehen zurechtzufinden. Die Themen sind als Input oder Vorschläge zu verstehen, denen du dich widmen kannst. Wer möchte, kann gerne eigene Ideen mitbringen oder in der Methodenbox stöbern.  Schwerpunkte der Gruppeninsel am Mittwoch sind Gespräche, Austausch und Übungen zu einem bestimmten Thema. Die Gruppeninsel soll dabei als Ressource (Austausch) dienen.  Die verbindliche Anmeldung für die Atelierinsel montags erfolgt bei Hissa Groth per E-Mail (gruppe@wildwasser-bielefeld.de) oder Telefon/SMS (0175 9270549). Für die Gruppeninsel mittwochs erfolgt die verbindliche Anmeldung über die Beratungsstelle per E-Mail (gruppe@wildwasser-bielefeld.de) oder telefonisch, auch über den Anrufbeantworter (0521 175476). Der Anmeldeschluss für die nächste folgende Woche ist Donnerstag, 17 Uhr. Es ist möglich sich direkt für mehrere Termine des Monats anzumelden.
Vor der erstmaligen Teilnahme an diesem Angebot ist ein Vorgespräch erforderlich. Dazu vereinbare bitte einen Termin. Beide Angebote sind offene Gruppen. Das bedeutet, Interessierte können sich immer wieder neu entscheiden, ob und wann sie an welcher Gruppe teilnehmen möchten. Die Teilnahme an beiden Angeboten ist auch abwechselnd möglich.   Die Gruppen-Insel am Mittwoch findet in unseren neuen Räumen in der Münzstraße 8 statt.    Detaillierte Informationen zu den Gruppenangeboten findest du unter:  ➡ www.wildwasser-bielefeld.de/ressourceninsel.html  🌊🌊🌊   #wildwasserbielefeld #wildwasser #bielefeld #liebefeld #ressourceninsel #ressourcengruppe #gruppeninsel #atelierinsel #traumasensiblegruppe #ressourcen #selbsthilfe #hilfezurselbsthilfe #gefühle #kraftquelle #selbstwert #stabilität #achtsamkeit #kunsttherapie #kreativität #gestaltung #beratung #hilfe #unterstützung #gegengewalt #gegensexualisiertegewalt #sexualisiertegewalt #beratungsstelle #metoo","[""#wildwasserbielefeld"",""#wildwasser"",""#bielefeld"",""#liebefeld"",""#ressourceninsel"",""#ressourcengruppe"",""#gruppeninsel"",""#atelierinsel"",""#traumasensiblegruppe"",""#ressourcen"",""#selbsthilfe"",""#hilfezurselbsthilfe"",""#gefühle"",""#kraftquelle"",""#selbstwert"",""#stabilität"",""#achtsamkeit"",""#kunsttherapie"",""#kreativität"",""#gestaltung"",""#beratung"",""#hilfe"",""#unterstützung"",""#gegengewalt"",""#gegensexualisiertegewalt"",""#sexualisiertegewalt"",""#beratungsstelle"",""#metoo""]",2024-02-28,1,5,0,"[""Achtung: Änderungen in 2024!\nLiebe Nutzer*innen der Ressourceninsel,\nwir freuen uns, dass es auch weiterhin so viel Interesse an der Gruppe gibt. Zu Beginn des Jahres möchten wir ein paar Veränderungen bekannt machen.\nMit Ende der Projektlaufzeit im August 2022 ist auch die Finanzierung der Ressourceninsel weggefallen. Wir müssen seitdem immer wieder neu schauen, wie wir die anfallenden Kosten decken können, zu einem Teil ist uns das in der Vergangenheit bereits durch Spenden gelungen. Darüber hinaus wird es ab Januar 2024 für die Teilnahme an der Atelier-Insel am Montag einen Unkostenbeitrag von 5 Euro pro Termin für Material und Raummiete geben. Im Atelier wird eine Spardose stehen, in die jede Person den Betrag einwerfen kann.\nWie einige bestimmt schon bemerkt haben, ist in den letzten Monaten vor allem an der Montagsgruppe das Interesse so groß gewesen, so dass sich viele über einen längeren Zeitraum nicht anmelden konnten. Uns ist es jedoch wichtig, dass möglichst viele (auch neue) Interessierte die Angebote regelmäßig nutzen können. Deshalb wird es auch Veränderungen bei der Anmeldung geben:\nPro Woche kann man sich für einen Gruppentermin, also entweder für den Montag oder den Mittwoch, anmelden.\nPro Monat kann man sich für maximal drei Termine der Montagsgruppe anmelden.""]",neutral
"God I’m on whatever you on, do what you do ‼️ We know the facts! I just pray you continue to send me the children and parents who don’t! 

#childabuse #sex #education #sexualabuse #talkaboutsex #awareness #Parents #Safety #fostercare #children #tweens #teens #coach #school  #victim #Survivor #metoo #hope #love #Family #relatinships #kidshealth #sexeducation #body #puberty","[""#childabuse"",""#sex"",""#education"",""#sexualabuse"",""#talkaboutsex"",""#awareness"",""#Parents"",""#Safety"",""#fostercare"",""#children"",""#tweens"",""#teens"",""#coach"",""#school"",""#victim"",""#Survivor"",""#metoo"",""#hope"",""#love"",""#Family"",""#relatinships"",""#kidshealth"",""#sexeducation"",""#body"",""#puberty""]",2024-02-23,0,20,0,[],positive
"No more wishing for that dream life. Girl, create it! 🩷 @notjustpretty_x 🌸
#feminist #feminism #equality #womenempowerment #women #girlpower #love #womensupportingwomen #feminista #feminismo #womensrights #woman #art #metoo #genderequality #prochoice #feministart #humanrights #selflove #intersectionalfeminism #empowerment #equalrights #femaleempowerment #female #memes #strongwomen #feministas","[""#feminist"",""#feminism"",""#equality"",""#womenempowerment"",""#women"",""#girlpower"",""#love"",""#womensupportingwomen"",""#feminista"",""#feminismo"",""#womensrights"",""#woman"",""#art"",""#metoo"",""#genderequality"",""#prochoice"",""#feministart"",""#humanrights"",""#selflove"",""#intersectionalfeminism"",""#empowerment"",""#equalrights"",""#femaleempowerment"",""#female"",""#memes"",""#strongwomen"",""#feministas""]",2024-02-25,0,1,0,[],positive
#bepresent#socialchange#leadership#leadershipdevelopment#youcanchange#youthleadership#wellbeing#learnsomethingnew#transformative#socialjustice#vote#healing#community#positivechange#selfawareness#supportgroup#womensmarch#equity#listen#spiritualdevelopment#breathe#growth#naturelover#blacklivesmatter#oakland#mindbodyspirit#metoo #activelistening#bayarea#heymakenzie,"[""#metoo"",""#heymakenzie""]",2024-02-28,0,14,0,[],positive
"director board applications are now open! LINK IN BIO
no experience is required - just dedication

why apply? 
- join a executive team of young advocates
- create valuable connections with a variety of partnerships 
- gain leadership experience
- and more!

we can’t wait to have you on board.
 
#feminism #women #girl #girls #femaleempowerment #womensupportingwomen #application #applynow #joinus #youth #youthadvocacy #leadership #publicspeaking #design #activist #advocacy #metoo #intersectionalfeminism #intersectionality #opportunity","[""#feminism"",""#women"",""#girl"",""#girls"",""#femaleempowerment"",""#womensupportingwomen"",""#application"",""#applynow"",""#joinus"",""#youth"",""#youthadvocacy"",""#leadership"",""#publicspeaking"",""#design"",""#activist"",""#advocacy"",""#metoo"",""#intersectionalfeminism"",""#intersectionality"",""#opportunity""]",2024-02-26,0,-1,0,[],positive
"World we will never forgive and never forget . It’s all written in the book of hypocrisy and racism and as much as we are far from being ok in many ways we have never ever in our long History of existence have stopped so low in hate and bigotry towards others . We have always remembered that we’re humans with a brain and a hart and never treated fellow living creatures on earth with such cruelty. Pray for Israel to rebuild and sate an example for decency and compassion ,truth ,logic and humanity as you world have lost it completely.#un  #unwomen #neveragain #neveragainisnow #shameonyouworld #prayforisrael🇮🇱 #metoo #metoomovement #metoounlessurajew","[""#un"",""#unwomen"",""#neveragain"",""#neveragainisnow"",""#shameonyouworld"",""#prayforisrael🇮🇱"",""#metoo"",""#metoomovement"",""#metoounlessurajew""]",2024-02-25,0,14,0,[],negative
"""Il faut se méfier des petites filles. Elles touchent le fond de la piscine, elles se cognent, elles se blessent mais elles rebondissent."" 
Judith Godrèche - César 2024

📷 Julien M. Hekimian/Getty Images

#judithgodreche #consentement #metoomovement  #liberationdelaparole #parole #famille #enfantinterieur  #secretdefamille #abus #nondits #blessures #traumatismes #résilience #resilience","[""#judithgodreche"",""#consentement"",""#metoomovement"",""#liberationdelaparole"",""#parole"",""#famille"",""#enfantinterieur"",""#secretdefamille"",""#abus"",""#nondits"",""#blessures"",""#traumatismes"",""#résilience"",""#resilience""]",2024-02-26,0,18,0,[],neutral
